DIS,-68.0517,-68.4934
DC2,-75.0622,123.2046
ERN,-84.5407,-128.5158
FER,-77.4702,170.4858
FUJ,-77.1836,39.42
GIL,-79.4923,-178.321
HRY,-83.0018,-121.2432
HEN,-89.0,-0.244
JA1,-70.321,23.4648
JA2,-70.3213,24.1059
JNT,-77.103,-123.2328
JAS,-75.5317,25.5002
KTH,-77.5942,-97.1558
KMS,-79.2758,-112.0625
LR2,-77.2534,170.4424
LET,-82.283,-174.3513
LDA,-78.2255,168.2722
LOR,-78.1041,170.0206
MLA,-74.5646,163.4113
MPT,-77.262,163.4514
MP2,-77.262,163.4532
MGT,-79.5852,-165.0556
MLN,-79.5414,165.4626
MNB,-78.3314,166.4128
MIZ,-70.42,44.1724
NIC,-89.0,90.0116
PDA,-82.193,75.592
PHX,-77.5649,166.4525
POS,-71.5328,171.1236
RLS,-74.0101,43.0343
SAB,-84.1413,-170.154
SRH,-77.5158,166.5859
SWT,-79.4858,170.2129
SID,-81.3907,-148.5931
TRS,-84.3607,-115.5046
THI,-72.3155,-97.3242
VTO,-78.2429,177.4944
WTI,-78.0434,167.2704
WTL,-76.0831,168.2338
WFD,-77.5205,166.5516
WDB,-77.4344,167.4019
MNBL,12.0,-83.48
MI1,42.32,-115.42
VEN,27.0412,-82.27
K3SE,43.1,-95.09
K3B1,45.2744,-69.3543
KP02,36.46,-90.28
KATT,30.19,-97.46
K4OM,48.25,-119.32
P60,44.324,-110.2516
CYXS,53.53,-122.41
KYLD,47.49,-83.21
NZIR,-77.51,166.35
NZPG,-77.57,166.31
NZWD,-77.52,167.05
NZFX,-77.5724,166.4535
YPTN,-14.26,132.16
ETGM,52.43,7.19
HKJK,-1.19,36.55
FAWW,-22.34,17.06
LOIH,47.2305,9.4202
UAFF,42.48,74.3
UNCE,53.49,86.53
ELN,-83.0408,174.142
ELZ,-82.3629,-137.0448
EML,-78.2534,173.111
EMA,-83.5949,-175.0249
AQR,34.2354,-96.0853
KAQR,34.2354,-96.0853
TJBQ,18.3,-67.08
TJMZ,18.16,-67.09
TJPS,18.01,-66.34
TJSJ,18.27,-66.0
KBYY,28.5823,-95.5148
KBYY,28.5823,-95.5148
KAIG,45.09,-89.09
GYI,33.4251,-96.4025
KGYI,33.4251,-96.4025
ABC,60.4731,-161.5235
ABR,45.2721,-98.2447
ABX,35.0859,-106.4926
ACG,56.511,-135.3145
AEC,64.3041,-165.1742
AHG,60.4333,-151.2105
AIH,59.2741,-146.1811
AKC,58.4046,-156.3746
AKQ,36.5902,-77.0026
AMA,35.14,-101.4233
AMX,25.364,-80.2446
APD,65.0206,-147.3006
APX,44.5426,-84.4311
ARX,43.4922,-91.1128
ATX,48.114,-122.2945
BBX,39.2946,-121.3754
BGM,42.1159,-75.5905
BHX,40.2954,-124.1731
BIS,46.4615,-100.4538
BLX,45.5114,-108.3624
BMX,33.102,-86.4611
BOX,41.5721,-71.0813
BRO,25.5458,-97.2508
BUF,42.5656,-78.4412
BYX,24.3551,-81.4211
CAE,33.5655,-81.0706
CBW,46.0221,-67.4823
CBX,43.2926,-116.1408
CCX,40.5523,-78.0013
CLE,41.2447,-81.5135
CLX,32.392,-81.0232
CRP,27.4703,-97.304
CXX,44.304,-73.1001
CYS,41.0907,-104.4822
DAX,38.3004,-121.404
DDC,37.4539,-99.5808
DFX,29.1622,-100.165
DLH,46.5013,-92.1235
DMX,41.4352,-93.4322
DOX,38.4932,-75.2623
DTX,42.4159,-83.2818
DVN,41.3642,-90.3451
DYX,32.3218,-99.1516
EAX,38.4837,-94.1552
EMX,31.5337,-110.3749
ENX,42.3511,-74.035
EOX,31.2738,-85.2734
EPZ,31.5223,-106.4153
ESX,35.4204,-114.5329
EVX,30.3352,-85.5517
EWX,29.4214,-98.0142
EYX,35.0552,-117.3339
FCX,37.0128,-80.1626
FDR,34.2144,-98.5835
FDX,34.3807,-103.3748
FFC,33.2149,-84.3357
FSD,43.3516,-96.4346
FSX,34.3428,-111.1152
FTG,39.4712,-104.3245
FWS,32.3423,-97.1811
GGW,48.1223,-106.373
GJX,39.0344,-108.125
GLD,39.2201,-101.4201
GRB,44.2954,-88.0641
GRK,30.4319,-97.2259
GRR,42.5338,-85.3241
GSP,34.53,-82.1312
GUA,13.2716,144.483
GWX,33.5348,-88.1944
GYX,43.5329,-70.1523
HDX,33.0435,-106.0722
HGX,29.2819,-95.0445
HKI,21.5339,-159.3308
HKM,20.0732,-155.464
HMO,21.0758,-157.1048
HNX,36.1851,-119.3756
HPX,36.4412,-87.1706
HTX,34.555,-86.05
HWA,19.0542,-155.3408
ICT,37.3917,-97.2634
ICX,37.3527,-112.5144
ILN,39.2513,-83.4918
ILX,40.0902,-89.2013
IND,39.4227,-86.1649
INX,36.103,-95.3353
IWA,33.1721,-111.4012
IWX,41.2132,-85.42
JAN,32.1904,-90.0448
JAX,30.2905,-81.4207
JGX,32.4031,-83.2104
JKL,37.3527,-83.1847
JUA,18.0656,-66.0441
LBB,33.3915,-101.4851
LCH,30.0731,-93.1257
LIX,30.2012,-89.4932
LNX,41.5728,-100.3435
LOT,41.3617,-88.0505
LRX,40.4423,-116.481
LSX,38.4156,-90.4058
LTX,33.5922,-78.2544
LVX,37.5831,-85.5638
LWX,38.5831,-77.284
LZK,34.5011,-92.1544
MAF,31.5636,-102.1121
MAX,42.0452,-122.4302
MBX,48.2333,-100.5154
MHX,34.4634,-76.5234
MKX,42.5804,-88.3302
MLB,28.0648,-80.3915
MOB,30.4046,-88.1423
MPX,44.5056,-93.3356
MQT,46.3152,-87.3254
MRX,36.1007,-83.2406
MSX,47.0228,-113.591
MTX,41.1546,-112.2652
MUX,37.0919,-121.5354
MVX,47.314,-97.1932
MXX,32.3212,-85.4723
NKX,32.5508,-117.0231
NQA,35.2041,-89.5224
OAX,41.1913,-96.22
OHX,36.145,-86.3345
OKX,40.5156,-72.515
OTX,47.4049,-117.3736
PAH,37.0406,-88.4619
PBZ,40.3154,-80.1305
PDT,45.4126,-118.511
POE,31.092,-92.5833
PUX,38.2734,-104.1053
RAX,35.3956,-78.2923
RGX,39.4515,-119.2744
RIW,43.0358,-108.2838
RLX,38.184,-81.4323
RTX,45.4253,-122.5755
SFX,43.0621,-112.411
SGF,37.1407,-93.2402
SHV,32.2703,-93.5029
SJT,31.2217,-100.2933
